Title,Body,Labels,Milestone
DB-009 — Schema Deal,"## Objetivo
Criar oportunidades.

## Tarefas
- [ ] Valor, estágio, owner, datas e organizationId

## Critérios de aceite
- [ ] Deal possui estágio e cliente válidos","database,priority:high",01 - Foundation
DB-010 — Schema Proposal,"## Objetivo
Criar propostas.

## Tarefas
- [ ] Status, validade, totals e dealId

## Critérios de aceite
- [ ] Proposta possui ciclo de vida definido","database,priority:high",01 - Foundation
DB-011 — Schema Proposal Item,"## Objetivo
Itens de proposta.

## Tarefas
- [ ] Descrição, quantidade, preço e total

## Critérios de aceite
- [ ] Totais podem ser calculados de forma determinística","database,priority:high",01 - Foundation
DB-012 — Schema Public Token,"## Objetivo
Acesso público seguro.

## Tarefas
- [ ] Hash/token, expiração, revogação e tipo

## Critérios de aceite
- [ ] Token não expõe IDs internos sensíveis","database,priority:high",01 - Foundation
DB-013 — Schema Document,"## Objetivo
Criar documentos.

## Tarefas
- [ ] Metadados, tipo e storageKey

## Critérios de aceite
- [ ] Documento pode ser versionado","database,priority:high",01 - Foundation
DB-014 — Schema Document Version,"## Objetivo
Versionar documentos.

## Tarefas
- [ ] Versão, checksum, storageKey e createdAt

## Critérios de aceite
- [ ] Versões não são sobrescritas","database,priority:high",01 - Foundation
DB-015 — Schema Contract,"## Objetivo
Criar contratos.

## Tarefas
- [ ] Status, proposalId, documentId e datas

## Critérios de aceite
- [ ] Contrato possui estados consistentes","database,priority:high",01 - Foundation
DB-016 — Schema Contract Participant,"## Objetivo
Participantes do contrato.

## Tarefas
- [ ] Nome, email, role e ordem

## Critérios de aceite
- [ ] Participantes podem assinar","database,priority:high",01 - Foundation
DB-017 — Schema Signature Request,"## Objetivo
Solicitação de assinatura.

## Tarefas
- [ ] Token, status, expiração e participante

## Critérios de aceite
- [ ] Request impede assinatura duplicada","database,priority:high",01 - Foundation
DB-018 — Schema Signature,"## Objetivo
Registro de assinatura.

## Tarefas
- [ ] Signer, timestamp, metadata e documentVersionId

## Critérios de aceite
- [ ] Assinatura fica imutável","database,priority:high",01 - Foundation
DB-019 — Schema Invoice,"## Objetivo
Criar faturas.

## Tarefas
- [ ] Status, valores, vencimento e contractId

## Critérios de aceite
- [ ] Fatura possui ciclo de vida","database,priority:high",01 - Foundation
DB-020 — Schema Invoice Item,"## Objetivo
Itens de fatura.

## Tarefas
- [ ] Descrição, quantidade, preço e total

## Critérios de aceite
- [ ] Total é consistente com os itens","database,priority:high",01 - Foundation
DB-021 — Schema Payment,"## Objetivo
Registrar pagamentos.

## Tarefas
- [ ] InvoiceId, amount, method, status e paidAt

## Critérios de aceite
- [ ] Pagamento pode liquidar fatura","database,priority:high",01 - Foundation
DB-022 — Schema Task,"## Objetivo
Criar tarefas internas.

## Tarefas
- [ ] Título, status, assignee, dueDate e vínculos

## Critérios de aceite
- [ ] Task pode ser atribuída e concluída","database,priority:high",01 - Foundation
DB-023 — Schema Workflow,"## Objetivo
Criar workflows.

## Tarefas
- [ ] Nome, status e organizationId

## Critérios de aceite
- [ ] Workflow pode ser ativado/desativado","database,priority:high",01 - Foundation
DB-024 — Schema Workflow Node,"## Objetivo
Nós de workflow.

## Tarefas
- [ ] Trigger, action, condition e delay

## Critérios de aceite
- [ ] Nós possuem configuração persistível","database,priority:high",01 - Foundation
DB-025 — Schema Workflow Run,"## Objetivo
Execuções de workflow.

## Tarefas
- [ ] Status, input, output, timestamps e error

## Critérios de aceite
- [ ] Execução pode ser auditada","database,priority:high",01 - Foundation
DB-026 — Schema Notification,"## Objetivo
Notificações.

## Tarefas
- [ ] Destinatário, tipo, payload e readAt

## Critérios de aceite
- [ ] Notificação pode ser lida","database,priority:high",01 - Foundation
DB-027 — Schema Audit Log,"## Objetivo
Auditoria.

## Tarefas
- [ ] Actor, action, resource, metadata e timestamp

## Critérios de aceite
- [ ] Eventos críticos ficam registrados","database,priority:high",01 - Foundation
DB-028 — Schema Activity,"## Objetivo
Timeline de atividades.

## Tarefas
- [ ] Tipo, entidade, actor e metadata

## Critérios de aceite
- [ ] Atividades podem ser consultadas cronologicamente","database,priority:high",01 - Foundation
DB-029 — Índices e constraints,"## Objetivo
Otimizar e proteger o banco.

## Tarefas
- [ ] Índices de tenant, status, datas e FKs

## Critérios de aceite
- [ ] Queries principais usam índices e constraints impedem estados inválidos","database,priority:high",01 - Foundation
DB-030 — Seed de demonstração,"## Objetivo
Criar dados realistas para demo.

## Tarefas
- [ ] Organization, usuários, clientes, deals e documentos

## Critérios de aceite
- [ ] Ambiente de desenvolvimento possui uma demo completa","database,priority:high",01 - Foundation
AUTH-001 — Configurar Better Auth,"## Objetivo
Integrar Better Auth ao package auth.

## Tarefas
- [ ] Configuração, secret, baseURL e adapter

## Critérios de aceite
- [ ] Auth inicia e cria sessão","backend,auth,priority:high",02 - Authentication
AUTH-002 — Integrar Better Auth ao NestJS,"## Objetivo
Disponibilizar autenticação na API.

## Tarefas
- [ ] Handler, middleware e contexto de sessão

## Critérios de aceite
- [ ] Endpoints protegidos reconhecem sessão","backend,auth,priority:high",02 - Authentication
AUTH-003 — Session management,"## Objetivo
Criar leitura e invalidação de sessões.

## Tarefas
- [ ] Current session
- [ ] Logout
- [ ] Expiração

## Critérios de aceite
- [ ] Sessões podem ser consultadas e encerradas","backend,auth,priority:high",02 - Authentication
AUTH-004 — Cadastro,"## Objetivo
Implementar criação de conta.

## Tarefas
- [ ] Email/senha, validação e mensagens de erro

## Critérios de aceite
- [ ] Usuário é criado e sessão inicial é controlada","backend,auth,priority:high",02 - Authentication
AUTH-005 — Login,"## Objetivo
Implementar login.

## Tarefas
- [ ] Credenciais, erros e rate limit

## Critérios de aceite
- [ ] Login válido cria sessão","backend,auth,priority:high",02 - Authentication
AUTH-006 — Logout,"## Objetivo
Implementar logout.

## Tarefas
- [ ] Invalidar sessão atual

## Critérios de aceite
- [ ] Sessão deixa de ser válida","backend,auth,priority:high",02 - Authentication
AUTH-007 — Verificação de email,"## Objetivo
Implementar fluxo de verificação.

## Tarefas
- [ ] Token, expiração e reenvio

## Critérios de aceite
- [ ] Usuário pode verificar email","backend,auth,priority:high",02 - Authentication
AUTH-008 — Recuperação de senha,"## Objetivo
Implementar forgot/reset password.

## Tarefas
- [ ] Token, expiração e invalidação

## Critérios de aceite
- [ ] Senha pode ser redefinida com segurança","backend,auth,priority:high",02 - Authentication
AUTH-009 — OAuth Google,"## Objetivo
Adicionar login social.

## Tarefas
- [ ] Configurar provider e callback

## Critérios de aceite
- [ ] Usuário pode autenticar via Google","backend,auth,priority:high",02 - Authentication
AUTH-010 — 2FA,"## Objetivo
Implementar segundo fator.

## Tarefas
- [ ] TOTP, challenge e recovery codes

## Critérios de aceite
- [ ] Usuário pode ativar e usar 2FA","backend,auth,priority:high",02 - Authentication
AUTH-011 — Recovery codes,"## Objetivo
Gerar e consumir códigos.

## Tarefas
- [ ] Hash dos códigos e uso único

## Critérios de aceite
- [ ] Código usado não pode ser reutilizado","backend,auth,priority:high",02 - Authentication
AUTH-012 — Listagem de sessões,"## Objetivo
Expor sessões ativas.

## Tarefas
- [ ] Endpoint e revogação individual

## Critérios de aceite
- [ ] Usuário vê dispositivos/sessões","backend,auth,priority:high",02 - Authentication
AUTH-013 — Revogar sessão,"## Objetivo
Encerrar sessão remota.

## Tarefas
- [ ] Endpoint autorizado

## Critérios de aceite
- [ ] Sessão selecionada é invalidada","backend,auth,priority:high",02 - Authentication
AUTH-014 — Auth guard,"## Objetivo
Proteger rotas NestJS.

## Tarefas
- [ ] Guard e decorator current user

## Critérios de aceite
- [ ] Rotas privadas retornam 401 sem sessão","backend,auth,priority:high",02 - Authentication
AUTH-015 — Contexto de organização,"## Objetivo
Resolver tenant atual.

## Tarefas
- [ ] Membership e organization context

## Critérios de aceite
- [ ] Request possui organização autorizada","backend,auth,priority:high",02 - Authentication
ORG-001 — Criar organização,"## Objetivo
Implementar criação de workspace.

## Tarefas
- [ ] Use case, repository e endpoint

## Critérios de aceite
- [ ] Usuário autenticado cria organização","backend,priority:high",03 - Organizations
ORG-002 — Consultar organização,"## Objetivo
Retornar workspace atual.

## Tarefas
- [ ] Endpoint e autorização

## Critérios de aceite
- [ ] Somente membros acessam","backend,priority:high",03 - Organizations
ORG-003 — Atualizar organização,"## Objetivo
Editar nome, logo e dados.

## Tarefas
- [ ] Validação e autorização

## Critérios de aceite
- [ ] Somente papel autorizado altera","backend,priority:high",03 - Organizations
ORG-004 — Convites de equipe,"## Objetivo
Criar e enviar convites.

## Tarefas
- [ ] Token, expiração, role e email

## Critérios de aceite
- [ ] Convite pode ser enviado","backend,priority:high",03 - Organizations
ORG-005 — Aceitar convite,"## Objetivo
Aceitar convite externo.

## Tarefas
- [ ] Validar token e criar membership

## Critérios de aceite
- [ ] Convite aceito cria membership","backend,priority:high",03 - Organizations
ORG-006 — Gerenciar membros,"## Objetivo
Listar/remover membros.

## Tarefas
- [ ] Endpoints e autorização

## Critérios de aceite
- [ ] Admin consegue gerenciar equipe","backend,priority:high",03 - Organizations
ORG-007 — Alterar papel,"## Objetivo
Alterar role de membro.

## Tarefas
- [ ] Validação de permissões

## Critérios de aceite
- [ ] Owner não pode ser removido indevidamente","backend,priority:high",03 - Organizations
ORG-008 — Permission service,"## Objetivo
Centralizar autorização.

## Tarefas
- [ ] Matriz de permissões por role

## Critérios de aceite
- [ ] Use cases usam autorização consistente","backend,priority:high",03 - Organizations
CUS-001 — Criar cliente,"## Objetivo
Criar customer.

## Tarefas
- [ ] Validação, repository e endpoint

## Critérios de aceite
- [ ] Cliente é criado no tenant atual","backend,priority:high",04 - Customers
CUS-002 — Listar clientes,"## Objetivo
Listar com paginação.

## Tarefas
- [ ] Busca, paginação e ordenação

## Critérios de aceite
- [ ] Lista retorna apenas tenant atual","backend,priority:high",04 - Customers
CUS-003 — Buscar e filtrar clientes,"## Objetivo
Adicionar filtros.

## Tarefas
- [ ] Nome, email, status e owner

## Critérios de aceite
- [ ] Filtros combináveis funcionam","backend,priority:high",04 - Customers
CUS-004 — Consultar cliente,"## Objetivo
Detalhes do cliente.

## Tarefas
- [ ] Endpoint e relações básicas

## Critérios de aceite
- [ ] Cliente existente é retornado","backend,priority:high",04 - Customers
CUS-005 — Atualizar cliente,"## Objetivo
Editar dados.

## Tarefas
- [ ] Validação e auditoria

## Critérios de aceite
- [ ] Alterações ficam registradas","backend,priority:high",04 - Customers
CUS-006 — Arquivar cliente,"## Objetivo
Soft delete/archive.

## Tarefas
- [ ] Status e proteção de dados

## Critérios de aceite
- [ ] Cliente arquivado não aparece na lista padrão","backend,priority:high",04 - Customers
CUS-007 — Timeline do cliente,"## Objetivo
Unificar atividades.

## Tarefas
- [ ] Consultar Activity por customerId

## Critérios de aceite
- [ ] Timeline ordenada corretamente","backend,priority:high",04 - Customers
DEAL-001 — Criar deal,"## Objetivo
Criar oportunidade.

## Tarefas
- [ ] Customer, value, stage e owner

## Critérios de aceite
- [ ] Deal é criado no tenant","backend,priority:high",05 - Deals
DEAL-002 — Listar deals,"## Objetivo
Listar oportunidades.

## Tarefas
- [ ] Filtros, paginação e ordenação

## Critérios de aceite
- [ ] Pipeline pode ser carregado","backend,priority:high",05 - Deals
DEAL-003 — Atualizar deal,"## Objetivo
Editar oportunidade.

## Tarefas
- [ ] Validação e autorização

## Critérios de aceite
- [ ] Dados atualizados corretamente","backend,priority:high",05 - Deals
DEAL-004 — Alterar estágio,"## Objetivo
Mover deal no pipeline.

## Tarefas
- [ ] Validação de transições

## Critérios de aceite
- [ ] Stage change gera activity","backend,priority:high",05 - Deals
DEAL-005 — Ganhar/perder deal,"## Objetivo
Encerrar oportunidade.

## Tarefas
- [ ] Won/lost e motivo

## Critérios de aceite
- [ ] Estado final é persistido","backend,priority:high",05 - Deals
DEAL-006 — Pipeline,"## Objetivo
Retornar dados agrupados.

## Tarefas
- [ ] Agrupar por stage

## Critérios de aceite
- [ ] Frontend recebe dados para Kanban","backend,priority:high",05 - Deals
DEAL-007 — Timeline do deal,"## Objetivo
Registrar e consultar atividades.

## Tarefas
- [ ] Activity por deal

## Critérios de aceite
- [ ] Eventos aparecem em ordem","backend,priority:high",05 - Deals
PROP-001 — Criar proposta,"## Objetivo
Criar proposta a partir de deal.

## Tarefas
- [ ] Itens, validade e total

## Critérios de aceite
- [ ] Proposta em draft","backend,priority:high",06 - Proposals
PROP-002 — Gerenciar itens,"## Objetivo
Adicionar/remover/editar itens.

## Tarefas
- [ ] Cálculo server-side

## Critérios de aceite
- [ ] Total correto","backend,priority:high",06 - Proposals
PROP-003 — Atualizar proposta,"## Objetivo
Editar proposta draft.

## Tarefas
- [ ] Bloquear edição após estados finais

## Critérios de aceite
- [ ] Regras de status respeitadas","backend,priority:high",06 - Proposals
PROP-004 — Enviar proposta,"## Objetivo
Gerar acesso público e enviar email.

## Tarefas
- [ ] Token, status e notification

## Critérios de aceite
- [ ] Cliente recebe link válido","backend,priority:high",06 - Proposals
PROP-005 — Visualizar proposta pública,"## Objetivo
Expor proposta por token.

## Tarefas
- [ ] Validar token e expiração

## Critérios de aceite
- [ ] Não exige login","backend,priority:high",06 - Proposals
PROP-006 — Aprovar proposta,"## Objetivo
Registrar aprovação.

## Tarefas
- [ ] Timestamp, signer e status

## Critérios de aceite
- [ ] Proposta vira approved","backend,priority:high",06 - Proposals
PROP-007 — Rejeitar proposta,"## Objetivo
Registrar rejeição.

## Tarefas
- [ ] Motivo opcional e status

## Critérios de aceite
- [ ] Proposta vira rejected","backend,priority:high",06 - Proposals
PROP-008 — Expiração de proposta,"## Objetivo
Controlar validade.

## Tarefas
- [ ] Validar expiresAt em acesso/ação

## Critérios de aceite
- [ ] Proposta expirada não pode ser aprovada","backend,priority:high",06 - Proposals
CON-001 — Criar contrato,"## Objetivo
Criar contrato.

## Tarefas
- [ ] Deal/proposal/document relationships

## Critérios de aceite
- [ ] Contrato inicia em draft","backend,priority:high",07 - Contracts
CON-002 — Gerar contrato da proposta,"## Objetivo
Criar contrato a partir de aprovação.

## Tarefas
- [ ] Mapear dados e participantes

## Critérios de aceite
- [ ] Workflow pode chamar o use case","backend,priority:high",07 - Contracts
CON-003 — Gerenciar participantes,"## Objetivo
Adicionar e ordenar signatários.

## Tarefas
- [ ] Validação de email e ordem

## Critérios de aceite
- [ ] Participantes ficam vinculados","backend,priority:high",07 - Contracts
CON-004 — Enviar contrato,"## Objetivo
Criar signature requests.

## Tarefas
- [ ] Tokens e emails

## Critérios de aceite
- [ ] Contrato fica aguardando assinatura","backend,priority:high",07 - Contracts
CON-005 — Status do contrato,"## Objetivo
Implementar máquina de estados.

## Tarefas
- [ ] Draft, awaiting, partial, signed, expired, cancelled

## Critérios de aceite
- [ ] Transições inválidas são rejeitadas","backend,priority:high",07 - Contracts
SIG-001 — Criar sessão pública,"## Objetivo
Abrir signing session.

## Tarefas
- [ ] Token, expiração e rate limit

## Critérios de aceite
- [ ] Signatário acessa sem conta","backend,security,priority:high",08 - Signatures
SIG-002 — Identificação do signatário,"## Objetivo
Registrar dados de identificação.

## Tarefas
- [ ] Nome, email e dados configurados

## Critérios de aceite
- [ ] Dados são vinculados à request","backend,security,priority:high",08 - Signatures
SIG-003 — Registrar assinatura,"## Objetivo
Persistir assinatura.

## Tarefas
- [ ] Assinatura, timestamp e metadata

## Critérios de aceite
- [ ] Assinatura é imutável","backend,security,priority:high",08 - Signatures
SIG-004 — Completar contrato,"## Objetivo
Atualizar status após todas assinaturas.

## Tarefas
- [ ] Verificar participantes pendentes

## Critérios de aceite
- [ ] Contrato vira signed","backend,security,priority:high",08 - Signatures
SIG-005 — Impedir assinatura duplicada,"## Objetivo
Validar request já assinada.

## Tarefas
- [ ] Retornar estado apropriado

## Critérios de aceite
- [ ] Mesma request não assina duas vezes","backend,security,priority:high",08 - Signatures
INV-001 — Criar fatura,"## Objetivo
Criar invoice.

## Tarefas
- [ ] Itens, vencimento e valores

## Critérios de aceite
- [ ] Fatura inicia em draft","backend,priority:high",09 - Invoices
INV-002 — Gerar fatura do contrato,"## Objetivo
Criar invoice após contrato assinado.

## Tarefas
- [ ] Mapear itens/valor

## Critérios de aceite
- [ ] Workflow consegue gerar invoice","backend,priority:high",09 - Invoices
INV-003 — Listar faturas,"## Objetivo
Listar invoices.

## Tarefas
- [ ] Filtros e paginação

## Critérios de aceite
- [ ] Somente tenant atual","backend,priority:high",09 - Invoices
INV-004 — Consultar fatura,"## Objetivo
Detalhes e itens.

## Tarefas
- [ ] Endpoint autorizado

## Critérios de aceite
- [ ] Dados completos retornados","backend,priority:high",09 - Invoices
INV-005 — Enviar fatura,"## Objetivo
Enviar por email/link.

## Tarefas
- [ ] Status e notification

## Critérios de aceite
- [ ] Cliente recebe fatura","backend,priority:high",09 - Invoices
INV-006 — Registrar pagamento,"## Objetivo
Registrar payment.

## Tarefas
- [ ] Valor, método e data

## Critérios de aceite
- [ ] Invoice é marcada paid quando quitada","backend,priority:high",09 - Invoices
INV-007 — Vencimento de fatura,"## Objetivo
Detectar overdue.

## Tarefas
- [ ] Regra de vencimento

## Critérios de aceite
- [ ] Invoice vencida muda de status","backend,priority:high",09 - Invoices
INV-008 — Cancelar fatura,"## Objetivo
Cancelar invoice.

## Tarefas
- [ ] Regra de estado

## Critérios de aceite
- [ ] Fatura cancelada não aceita pagamento","backend,priority:high",09 - Invoices
TASK-001 — CRUD de tarefas,"## Objetivo
Criar e gerenciar tarefas internas.

## Tarefas
- [ ] Create/list/update/complete

## Critérios de aceite
- [ ] Tasks respeitam organização","backend,priority:high",04 - Customers
TASK-002 — Atribuir tarefa,"## Objetivo
Atribuir a membro.

## Tarefas
- [ ] Validação de membership

## Critérios de aceite
- [ ] Assignee é válido","backend,priority:high",04 - Customers
NOTIF-001 — Serviço de notificações,"## Objetivo
Criar abstração.

## Tarefas
- [ ] Create/list/read

## Critérios de aceite
- [ ] Eventos podem gerar notificações","backend,priority:high",12 - Notifications & Audit
NOTIF-002 — Preferências de notificação,"## Objetivo
Persistir preferências.

## Tarefas
- [ ] Email/in-app por tipo

## Critérios de aceite
- [ ] Preferências são respeitadas","backend,priority:high",12 - Notifications & Audit
AUD-001 — Serviço de auditoria,"## Objetivo
Criar audit service.

## Tarefas
- [ ] Actor, action, resource e metadata

## Critérios de aceite
- [ ] Eventos críticos são persistidos","backend,priority:high",12 - Notifications & Audit
ACT-001 — Serviço de atividades,"## Objetivo
Criar timeline service.

## Tarefas
- [ ] Create/query activities

## Critérios de aceite
- [ ] Entidades podem registrar atividades","backend,priority:high",12 - Notifications & Audit
DASH-001 — Resumo do dashboard,"## Objetivo
Retornar KPIs.

## Tarefas
- [ ] Revenue, customers, contracts e actions

## Critérios de aceite
- [ ] Dados filtrados por organização","backend,priority:high",11 - Dashboard
DASH-002 — Pipeline do dashboard,"## Objetivo
Retornar pipeline agregado.

## Tarefas
- [ ] Valores e quantidade por estágio

## Critérios de aceite
- [ ] Dashboard consegue renderizar gráfico","backend,priority:high",11 - Dashboard
DASH-003 — Receita por período,"## Objetivo
Retornar série temporal.

## Tarefas
- [ ] Filtros por período

## Critérios de aceite
- [ ] Dados prontos para gráfico","backend,priority:high",11 - Dashboard
WF-001 — Definir eventos de domínio,"## Objetivo
Criar eventos ProposalApproved, ContractSigned e InvoicePaid.

## Tarefas
- [ ] Contratos/tipos de eventos e publisher

## Critérios de aceite
- [ ] Eventos possuem payload versionável","backend,workflow,priority:high",10 - Workflows
WF-002 — Infra de processamento,"## Objetivo
Criar mecanismo assíncrono.

## Tarefas
- [ ] Redis/queue abstraction e worker

## Critérios de aceite
- [ ] Jobs podem ser enfileirados e processados","backend,workflow,priority:high",10 - Workflows
WF-003 — Criar workflow,"## Objetivo
Implementar CRUD de workflows.

## Tarefas
- [ ] Trigger, nodes e status

## Critérios de aceite
- [ ] Workflow pode ser salvo","backend,workflow,priority:high",10 - Workflows
WF-004 — Executar trigger,"## Objetivo
Disparar workflow por evento.

## Tarefas
- [ ] Resolver workflows ativos

## Critérios de aceite
- [ ] Evento dispara execução correta","backend,workflow,priority:high",10 - Workflows
WF-005 — Action create contract,"## Objetivo
Implementar ação de criação de contrato.

## Tarefas
- [ ] Mapear proposal/deal

## Critérios de aceite
- [ ] Contrato é criado uma única vez","backend,workflow,priority:high",10 - Workflows
WF-006 — Action create invoice,"## Objetivo
Implementar ação de criação de invoice.

## Tarefas
- [ ] Mapear contract/deal

## Critérios de aceite
- [ ] Invoice é criada uma única vez","backend,workflow,priority:high",10 - Workflows
WF-007 — Action mark deal won,"## Objetivo
Implementar ação de encerramento.

## Tarefas
- [ ] Atualizar deal após pagamento

## Critérios de aceite
- [ ] Deal vira won","backend,workflow,priority:high",10 - Workflows
WF-008 — Conditions,"## Objetivo
Implementar condições básicas.

## Tarefas
- [ ] Comparadores e valores

## Critérios de aceite
- [ ] Workflow pode seguir caminhos condicionais","backend,workflow,priority:high",10 - Workflows
WF-009 — Delay,"## Objetivo
Implementar ação de atraso.

## Tarefas
- [ ] Persistir job futuro

## Critérios de aceite
- [ ] Execução continua após delay","backend,workflow,priority:high",10 - Workflows
WF-010 — Workflow run history,"## Objetivo
Persistir execução.

## Tarefas
- [ ] Input/output/error/status

## Critérios de aceite
- [ ] Histórico é consultável","backend,workflow,priority:high",10 - Workflows
WF-011 — Retry e falhas,"## Objetivo
Adicionar retry controlado.

## Tarefas
- [ ] Tentativas e dead-letter/error state

## Critérios de aceite
- [ ] Falha não perde execução","backend,workflow,priority:high",10 - Workflows
WF-012 — Fluxo ProposalApproved,"## Objetivo
Automatizar aprovação → contrato.

## Tarefas
- [ ] Criar workflow default

## Critérios de aceite
- [ ] Aprovação cria contrato automaticamente","backend,workflow,priority:high",10 - Workflows
WF-013 — Fluxo ContractSigned,"## Objetivo
Automatizar assinatura → invoice.

## Tarefas
- [ ] Criar workflow default

## Critérios de aceite
- [ ] Contrato assinado cria fatura","backend,workflow,priority:high",10 - Workflows
WF-014 — Fluxo InvoicePaid,"## Objetivo
Automatizar pagamento → deal won.

## Tarefas
- [ ] Criar workflow default

## Critérios de aceite
- [ ] Pagamento liquida deal","backend,workflow,priority:high",10 - Workflows
FE-001 — Shell da aplicação,"## Objetivo
Criar App Shell, sidebar e topbar.

## Tarefas
- [ ] Criar App Shell, sidebar e topbar

## Critérios de aceite
- [ ] Navegação principal funciona e responde em desktop/mobile","frontend,priority:high",01 - Foundation
FE-002 — Design system,"## Objetivo
Criar tokens e componentes base.

## Tarefas
- [ ] Criar tokens e componentes base

## Critérios de aceite
- [ ] Button, Input, Dialog, Table, Badge, Tabs, Select e DatePicker disponíveis","frontend,priority:high",01 - Foundation
FE-003 — API client,"## Objetivo
Criar cliente HTTP tipado.

## Tarefas
- [ ] Criar cliente HTTP tipado

## Critérios de aceite
- [ ] Tratamento de erros e auth consistente","frontend,priority:high",01 - Foundation
FE-004 — Protected routes,"## Objetivo
Proteger rotas privadas.

## Tarefas
- [ ] Proteger rotas privadas

## Critérios de aceite
- [ ] Usuário sem sessão é redirecionado para login","frontend,priority:high",01 - Foundation
FE-005 — Landing page,"## Objetivo
Implementar marketing site.

## Tarefas
- [ ] Implementar marketing site

## Critérios de aceite
- [ ] Landing possui hero, features, pricing, FAQ e CTA","frontend,priority:high",13 - Testing
FE-006 — Login,"## Objetivo
Implementar tela de login.

## Tarefas
- [ ] Implementar tela de login

## Critérios de aceite
- [ ] Validação, loading, erro e sucesso","frontend,priority:high",02 - Authentication
FE-007 — Cadastro,"## Objetivo
Implementar signup.

## Tarefas
- [ ] Implementar signup

## Critérios de aceite
- [ ] Validação, senha forte e estados","frontend,priority:high",02 - Authentication
FE-008 — Verificação de email,"## Objetivo
Implementar UI de verificação.

## Tarefas
- [ ] Implementar UI de verificação

## Critérios de aceite
- [ ] Reenvio, cooldown e sucesso","frontend,priority:high",02 - Authentication
